Smell,File Name,Method Name,Line,Path
Eager Test Smell,GitMoveDeleteHookTest.java,testDeleteFile,161,F:\Poralekha\6th sem\Soft Testing\egit-master\org.eclipse.egit.core.test\src\org\eclipse\egit\core\GitMoveDeleteHookTest.java
Eager Test Smell,GitMoveDeleteHookTest.java,testDeleteFile,163,F:\Poralekha\6th sem\Soft Testing\egit-master\org.eclipse.egit.core.test\src\org\eclipse\egit\core\GitMoveDeleteHookTest.java
Eager Test Smell,GitMoveDeleteHookTest.java,testDeleteFile,165,F:\Poralekha\6th sem\Soft Testing\egit-master\org.eclipse.egit.core.test\src\org\eclipse\egit\core\GitMoveDeleteHookTest.java
Eager Test Smell,GitMoveDeleteHookTest.java,testDeleteFile,168,F:\Poralekha\6th sem\Soft Testing\egit-master\org.eclipse.egit.core.test\src\org\eclipse\egit\core\GitMoveDeleteHookTest.java
Eager Test Smell,GitMoveDeleteHookTest.java,testDeleteFile,169,F:\Poralekha\6th sem\Soft Testing\egit-master\org.eclipse.egit.core.test\src\org\eclipse\egit\core\GitMoveDeleteHookTest.java
Eager Test Smell,GitMoveDeleteHookTest.java,testDeleteFile,175,F:\Poralekha\6th sem\Soft Testing\egit-master\org.eclipse.egit.core.test\src\org\eclipse\egit\core\GitMoveDeleteHookTest.java
Eager Test Smell,GitMoveDeleteHookTest.java,testDeleteFile,176,F:\Poralekha\6th sem\Soft Testing\egit-master\org.eclipse.egit.core.test\src\org\eclipse\egit\core\GitMoveDeleteHookTest.java
Eager Test Smell,GitMoveDeleteHookTest.java,testDeleteFile,178,F:\Poralekha\6th sem\Soft Testing\egit-master\org.eclipse.egit.core.test\src\org\eclipse\egit\core\GitMoveDeleteHookTest.java
Eager Test Smell,GitMoveDeleteHookTest.java,testDeleteFile,192,F:\Poralekha\6th sem\Soft Testing\egit-master\org.eclipse.egit.core.test\src\org\eclipse\egit\core\GitMoveDeleteHookTest.java
Eager Test Smell,GitMoveDeleteHookTest.java,testDeleteFile,189,F:\Poralekha\6th sem\Soft Testing\egit-master\org.eclipse.egit.core.test\src\org\eclipse\egit\core\GitMoveDeleteHookTest.java
